TIME;Cours_action_ZE;Inflation_ZE;TX_LT;Var_CAC40;Var_FTSE100;Var_DAX;Var_EUST50;TX_change_ZE;PIB_ZE;PIB_G7;FBCF_EU;FIDLEUI LX Equity
2005-06;80,88806;2;3,2541;2,64%;3,01%;2,82%;3,41%;0,80412;0,616261;0,572588;2,439823;9,214
2005-07;83,76424;2,1;3,316;5,26%;3,31%;6,55%;4,56%;0,80412;0,730248;0,885312;1,391268;9,655
2005-08;85,07124;2,2;3,3155;-1,18%;0,28%;-1,16%;-1,89%;0,80412;0,730248;0,885312;1,391268;9,802
2005-09;86,5708;2,6;3,1555;4,56%;3,41%;4,44%;5,05%;0,80412;0,730248;0,885312;1,391268;10,24
2005-10;86,11436;2,5;3,3234;-3,56%;-2,93%;-2,28%;-3,16%;0,80412;0,6183;0,599398;1,249209;9,823
2005-11;87,77225;2,3;3,5273;2,95%;1,99%;5,36%;3,82%;0,80412;0,6183;0,599398;1,249209;10,26
2005-12;91,44087;2,3;3,409;3,24%;3,61%;4,14%;3,83%;0,80412;0,6183;0,599398;1,249209;10,66
2006-01;94,18736;2,5;3,3927;4,94%;2,52%;4,92%;3,14%;0,797141;0,891427;0,916614;1,426849;11,25
2006-02;97,96069;2,4;3,551;1,06%;0,54%;2,15%;2,25%;0,797141;0,891427;0,916614;1,426849;11,44
2006-03;100,4835;2,2;3,7312;4,41%;2,99%;3,00%;2,10%;0,797141;0,891427;0,916614;1,426849;11,6
2006-04;101,6919;2,5;4,0116;-0,62%;0,98%;0,67%;-0,36%;0,797141;1,088874;0,464357;2,377416;11,74
2006-05;98,74023;2,5;4,0603;-4,98%;-4,97%;-5,28%;-5,28%;0,797141;1,088874;0,464357;2,377416;11
2006-06;93,1375;2,5;4,0751;0,73%;1,91%;-0,17%;0,32%;0,797141;1,088874;0,464357;2,377416;10,91
2006-07;95,31667;2,5;4,0963;0,88%;1,63%;-0,02%;1,18%;0,797141;0,583562;0,171736;1,117548;11,11
2006-08;98,54514;2,3;3,9682;3,11%;-0,37%;3,13%;3,16%;0,797141;0,583562;0,171736;1,117548;11,29
2006-09;101,0379;1,8;3,8398;1,65%;0,93%;2,47%;2,38%;0,797141;0,583562;0,171736;1,117548;11,34
2006-10;105,4807;1,6;3,8813;1,88%;2,83%;4,41%;2,70%;0,797141;1,19374;0,955163;1,975126;11,74
2006-11;108,0245;1,9;3,8041;-0,39%;-1,31%;0,64%;-0,44%;0,797141;1,19374;0,955163;1,975126;11,75
2006-12;109,3492;1,9;3,9026;4,02%;2,84%;4,56%;3,33%;0,797141;1,19374;0,955163;1,975126;12,24
2007-01;112,4059;1,9;4,1028;1,20%;-0,28%;2,91%;1,42%;0,730638;0,611684;0,384262;1,496349;12,5
